Sub	task	run	tsnr	fd_mean	outlier_run_Custom1
sub-189	cardgame	01	49.9480	0.1245	False
sub-189	cardgame	02	48.9298	0.1306	False
sub-189	cardgame	03	49.1208	0.1282	False
sub-203	cardgame	03	54.7977	0.1336	False
sub-203	cardgame	01	55.9423	0.0822	False
sub-203	cardgame	02	57.5702	0.0978	False
sub-207	cardgame	01	23.6467	0.1125	False
sub-207	cardgame	02	22.6598	0.1897	False
sub-208	cardgame	02	45.5649	0.1361	False
sub-208	cardgame	03	44.7202	0.1728	False
sub-208	cardgame	01	50.3545	0.1212	False
sub-209	cardgame	02	32.0131	0.2959	False
sub-209	cardgame	01	33.1380	0.2507	False
sub-209	cardgame	03	34.9450	0.3385	False
sub-210	cardgame	03	55.2961	0.1486	False
sub-210	cardgame	01	51.5276	0.1634	False
sub-210	cardgame	02	47.3273	0.1559	False
sub-211	cardgame	02	51.9893	0.1565	False
sub-211	cardgame	01	49.5086	0.1313	False
sub-211	cardgame	03	52.8183	0.1778	False
sub-212	cardgame	01	45.6060	0.1881	False
sub-212	cardgame	02	43.3850	0.4050	True
sub-213	cardgame	01	42.6566	0.2273	False
sub-213	cardgame	02	42.6370	0.2442	False
sub-214	cardgame	03	32.7335	0.1413	False
sub-214	cardgame	02	28.0628	0.2444	False
sub-214	cardgame	01	29.8132	0.1723	False
sub-215	cardgame	03	46.6448	0.1715	False
sub-215	cardgame	01	40.2913	0.2918	False
sub-215	cardgame	02	52.0536	0.1753	False
sub-216	cardgame	01	35.3232	0.1297	False
sub-216	cardgame	02	36.7881	0.1224	False
sub-217	cardgame	01	32.8048	0.2172	False
sub-217	cardgame	02	30.1680	0.5200	True
sub-217	cardgame	03	31.3718	0.2802	False
sub-218	cardgame	03	26.4092	0.7614	True
sub-218	cardgame	01	47.0978	0.1524	False
sub-218	cardgame	02	32.7335	0.5780	True
sub-219	cardgame	03	49.7448	0.1734	False
sub-219	cardgame	01	49.4415	0.1883	False
sub-219	cardgame	02	42.3619	0.2015	False
sub-220	cardgame	03	27.1942	0.1682	False
sub-220	cardgame	02	27.1921	0.3966	True
sub-220	cardgame	01	30.8239	0.2113	False
sub-221	cardgame	02	24.9591	0.2122	False
sub-221	cardgame	01	24.2237	0.1773	False
sub-221	cardgame	03	24.6075	0.2554	False
sub-222	cardgame	01	56.3238	0.1038	False
sub-222	cardgame	03	45.4817	0.1873	False
sub-222	cardgame	02	34.4045	0.3524	False
sub-225	cardgame	02	38.8437	0.2244	False
sub-225	cardgame	03	40.8359	0.2678	False
sub-225	cardgame	01	44.5160	0.1453	False
sub-226	cardgame	01	40.2180	0.1854	False
sub-226	cardgame	02	38.3296	0.1744	False
sub-226	cardgame	03	37.2383	0.1812	False
